driver_id,driver_name,team_id,country,podiums,points,grands_prix_entered,world_championships,highest_race_finish,highest_grid_position,date_of_birth,place_of_birth,position,position_png,transparent_profile_png,profile_avif
1,Max Verstappen,2,Netherlands,109,2917.5,203,3,1 (x61),1,30/09/1997,"Hasselt, Belgium",Driver Racing Number 1,../img/drivers/position/max-verstappen-position.png,../img/drivers/profile/max-verstappen.png,../img/drivers/profile/max-verstappen.avif
2,Lando Norris,1,United Kingdom,24,912,122,0,1 (x3),1,13/11/1999,"Bristol, England",Driver Racing Number 4,../img/drivers/position/lando-norris-position.png,../img/drivers/profile/lando-norris.png,../img/drivers/profile/lando-norris.avif
3,Charles Leclerc,3,Monaco,39,1319,143,0,1 (x7),1,16/10/1997,"Monte Carlo, Monaco",Driver Racing Number 16,../img/drivers/position/charles-leclerc-position.png,../img/drivers/profile/charles-leclerc.png,../img/drivers/profile/charles-leclerc.avif
4,Oscar Piastri,1,Australia,9,334,40,0,1 (x2),2,6/4/2001,"Melbourne, Victoria",Driver Racing Number 81,../img/drivers/position/oscar-piastri-position.png,../img/drivers/profile/oscar-piastri.png,../img/drivers/profile/oscar-piastri.avif
5,Carlos Sainz,3,Spain,23,1172.5,202,0,1 (x3),1,1/9/1994,"Madrid, Spain",Driver Racing Number 55,../img/drivers/position/carlos-sainz-position.png,../img/drivers/profile/carlos-sainz.png,../img/drivers/profile/carlos-sainz.avif
6,Lewis Hamilton,4,United Kingdom,201,4813.5,350,7,1 (x105),1,7/1/1985,"Stevenage, England",Driver Racing Number 44,../img/drivers/position/lewis-hamilton-position.png,../img/drivers/profile/lewis-hamilton.png,../img/drivers/profile/lewis-hamilton.avif
7,George Russell,4,United Kingdom,14,624,122,0,1 (x2),1,15/02/1998,"King's Lynn, England",Driver Racing Number 63,../img/drivers/position/george-russell-position.png,../img/drivers/profile/george-russell.png,../img/drivers/profile/george-russell.avif
8,Sergio Perez,2,Mexico,39,1630,276,0,1 (x6),1,26/01/1990,"Guadalajara, Mexico",Driver Racing Number 11,../img/drivers/position/sergio-perez-position.png,../img/drivers/profile/sergio-perez.png,../img/drivers/profile/sergio-perez.avif
9,Fernando Alonso,5,Spain,106,2329,398,2,1 (x32),1,29/07/1981,"Oviedo, Spain",Driver Racing Number 14,../img/drivers/position/fernando-alonso-position.png,../img/drivers/profile/fernando-alonso.png,../img/drivers/profile/fernando-alonso.avif
10,Nico Hulkenberg,7,Germany,0,554,224,0,4 (x3),1,19/08/1987,"Emmerich am Rhein, Germany",Driver Racing Number 27,../img/drivers/position/nico-hulkenberg-position.png,../img/drivers/profile/nico-hulkenberg.png,../img/drivers/profile/nico-hulkenberg.avif
11,Lance Stroll,5,Canada,3,292,161,0,3 (x3),1,29/10/1998,"Montreal, Canada",Driver Racing Number 18,../img/drivers/position/lance-stroll-position.png,../img/drivers/profile/lance-stroll.png,../img/drivers/profile/lance-stroll.avif
12,Yuki Tsunoda,6,Japan,0,83,84,0,4 (x1),6,11/5/2000,"Sagamihara, Japan",Driver Racing Number 22,../img/drivers/position/yuki-tsunoda-position.png,../img/drivers/profile/yuki-tsunoda.png,../img/drivers/profile/yuki-tsunoda.avif
13,Alexander Albon,8,Thailand,2,240,99,0,3 (x2),4,23/03/1996,"London, England",Driver Racing Number 23,../img/drivers/position/alexander-albon-position.png,../img/drivers/profile/alexander-albon.png,../img/drivers/profile/alexander-albon.avif
14,Daniel Ricciardo,6,Australia,32,1329,257,0,1 (x8),1,1/7/1989,"Perth, Australia",Driver Racing Number 3,../img/drivers/position/daniel-ricciardo-position.png,../img/drivers/profile/daniel-ricciardo.png,../img/drivers/profile/daniel-ricciardo.avif
15,Pierre Gasly,9,France,4,402,148,0,1 (x1),2,7/2/1996,"Rouen, France",Driver Racing Number 10,../img/drivers/position/pierre-gasly-position.png,../img/drivers/profile/pierre-gasly.png,../img/drivers/profile/pierre-gasly.avif
16,Oliver Bearman,7,United Kingdom,0,7,2,0,7 (x1),10,8/5/2005,"Chelmsford, England",Driver Racing Number 50,../img/drivers/position/oliver-bearman-position.png,../img/drivers/profile/oliver-bearman.png,../img/drivers/profile/oliver-bearman.avif
17,Kevin Magnussen,7,Denmark,1,192,181,0,2 (x1),4,5/10/1992,"Roskilde, Denmark",Driver Racing Number 20,../img/drivers/position/kevin-magnussen-position.png,../img/drivers/profile/kevin-magnussen.png,../img/drivers/profile/kevin-magnussen.avif
18,Esteban Ocon,9,France,3,427,151,0,1 (x1),3,17/09/1996,"Évreux, Normandy",Driver Racing Number 31,../img/drivers/position/esteban-ocon-position.png,../img/drivers/profile/esteban-ocon.png,../img/drivers/profile/esteban-ocon.avif
19,Franco Colapinto,8,Argentina,0,4,3,0,8 (x1),8,27/05/2003,"Buenos Aires, Argentina",Driver Racing Number 43,../img/drivers/position/franco-colapinto-position.png,../img/drivers/profile/franco-colapinto.png,../img/drivers/profile/franco-colapinto.avif
20,Zhou Guanyu,10,China,0,12,62,0,8 (x1),5,30/05/1999,"Shanghai, China",Driver Racing Number 24,../img/drivers/position/zhou-guanyu-position.png,../img/drivers/profile/zhou-guanyu.png,../img/drivers/profile/zhou-guanyu.avif
21,Logan Sargeant,8,0,0,0,0,0,0,0,0,0,Driver Racing Number 2,../img/drivers/position/logan-sargeant-position.png,../img/drivers/profile/logan-sargeant.png,
22,Valtteri Bottas,10,Finland,67,1797,240,0,1 (x10),1,28/08/1989,"Nastola, Finland",Driver Racing Number 77,../img/drivers/position/valtteri-bottas-position.png,../img/drivers/profile/valtteri-bottas.png,../img/drivers/profile/valtteri-bottas.avif
23,Liam Lawson,6,New Zealand,0,2,5,0,9 (x1),10,11/2/2002,"Hastings, New Zealand",Driver Racing Number 30,../img/drivers/position/liam-lawson-position.png,../img/drivers/profile/liam-lawson.png,../img/drivers/profile/liam-lawson.avif
