fastest_lap_id,schedule_id,driver_id,car,laps,time_of_day,time,avg_speed
1,2,1,Red Bull Racing Honda RBPT,39,19:07:00,1:32.608,210.383
2,2,3,Ferrari,36,19:02:45,1:34.090,207.069
3,2,9,Aston Martin Aramco Mercedes,48,19:22:26,1:34.199,206.83
4,2,8,Red Bull Racing Honda RBPT,40,19:08:53,1:34.364,206.468
5,2,2,McLaren Mercedes,35,19:01:12,1:34.476,206.223
6,2,5,Ferrari,44,19:15:15,1:34.507,206.156
7,2,6,Mercedes,39,19:07:38,1:34.722,205.688
8,2,21,Williams Mercedes,42,19:14:58,1:34.735,205.659
9,2,15,Alpine Renault,45,19:18:28,1:34.805,205.508
10,2,10,Haas Ferrari,46,19:19:49,1:34.834,205.445
11,2,4,McLaren Mercedes,39,19:07:42,1:34.983,205.123
12,2,7,Mercedes,40,19:09:04,1:35.065,204.946
13,2,14,RB Honda RBPT,37,19:05:08,1:35.163,204.735
14,2,20,Kick Sauber Ferrari,30,18:53:34,1:35.458,204.102
15,2,17,Haas Ferrari,34,19:00:11,1:35.570,203.863
16,2,11,Aston Martin Aramco Mercedes,30,18:53:35,1:35.632,203.73
17,2,13,Williams Mercedes,40,19:09:57,1:35.723,203.537
18,2,12,RB Honda RBPT,37,19:04:59,1:35.833,203.303
19,2,22,Kick Sauber Ferrari,33,18:59:37,1:36.202,202.523
20,2,18,Alpine Renault,34,19:00:21,1:36.226,202.473
21,3,3,Ferrari,50,21:25:00,1:31.632,242.561
22,3,6,Mercedes,38,21:07:01,1:31.746,242.26
23,3,1,Red Bull Racing Honda RBPT,50,21:24:42,1:31.773,242.188
24,3,2,McLaren Mercedes,40,21:10:04,1:31.944,241.738
25,3,16,Ferrari,50,21:25:24,1:32.186,241.103
26,3,20,Kick Sauber Ferrari,49,21:25:11,1:32.208,241.046
27,3,7,Mercedes,42,21:12:58,1:32.254,240.926
28,3,8,Red Bull Racing Honda RBPT,37,21:04:47,1:32.273,240.876
29,3,13,Williams Mercedes,50,21:26:10,1:32.307,240.787
30,3,4,McLaren Mercedes,45,21:17:31,1:32.310,240.779
31,3,17,Haas Ferrari,47,21:21:26,1:32.338,240.706
32,3,10,Haas Ferrari,49,21:24:26,1:32.366,240.633
33,3,9,Aston Martin Aramco Mercedes,43,21:14:30,1:32.387,240.579
34,3,22,Kick Sauber Ferrari,49,21:25:05,1:32.706,239.751
35,3,21,Williams Mercedes,49,21:24:49,1:33.026,238.926
36,3,14,RB Honda RBPT,47,21:21:43,1:33.323,238.166
37,3,18,Alpine Renault,48,21:23:12,1:33.481,237.763
38,3,12,RB Honda RBPT,44,21:16:58,1:33.523,237.657
39,3,11,Aston Martin Aramco Mercedes,5,20:12:04,1:35.560,232.591
40,4,3,Ferrari,56,16:20:30,1:19.813,238.066
41,4,2,McLaren Mercedes,49,16:11:12,1:19.915,237.762
42,4,5,Ferrari,48,16:09:42,1:20.031,237.418
43,4,4,McLaren Mercedes,54,16:18:04,1:20.199,236.92
44,4,7,Mercedes,53,16:17:14,1:20.284,236.669
45,4,8,Red Bull Racing Honda RBPT,47,16:08:52,1:20.388,236.363
46,4,9,Aston Martin Aramco Mercedes,52,16:15:52,1:20.493,236.055
47,4,11,Aston Martin Aramco Mercedes,49,16:12:01,1:20.930,234.78
48,4,17,Haas Ferrari,44,16:05:23,1:21.082,234.34
49,4,15,Alpine Renault,51,16:15:20,1:21.090,234.317
50,4,12,RB Honda RBPT,46,16:08:01,1:21.134,234.19
51,4,10,Haas Ferrari,46,16:08:02,1:21.145,234.158
52,4,14,RB Honda RBPT,46,16:08:12,1:21.239,233.887
53,4,20,Kick Sauber Ferrari,49,16:12:44,1:21.327,233.634
54,4,18,Alpine Renault,45,16:07:18,1:21.354,233.557
55,4,22,Kick Sauber Ferrari,48,16:11:19,1:21.422,233.361
56,4,13,Williams Mercedes,46,16:08:08,1:21.618,232.801
57,4,6,Mercedes,11,15:18:57,1:22.444,230.469
58,4,1,Red Bull Racing Honda RBPT,3,15:07:26,1:23.115,228.608
59,5,1,Red Bull Racing Honda RBPT,50,15:53:20,1:33.706,223.093
60,5,5,Ferrari,46,15:47:21,1:33.841,222.772
61,5,8,Red Bull Racing Honda RBPT,35,15:29:48,1:33.945,222.525
62,5,6,Mercedes,41,15:39:55,1:33.952,222.509
63,5,7,Mercedes,39,15:36:37,1:34.404,221.444
64,5,9,Aston Martin Aramco Mercedes,53,15:58:49,1:34.726,220.691
65,5,4,McLaren Mercedes,35,15:30:07,1:34.802,220.514
66,5,21,Williams Mercedes,43,15:44:56,1:34.900,220.286
67,5,3,Ferrari,53,15:58:31,1:35.044,219.952
68,5,2,McLaren Mercedes,51,15:55:23,1:35.186,219.624
69,5,10,Haas Ferrari,52,15:58:12,1:35.325,219.304
70,5,11,Aston Martin Aramco Mercedes,41,15:40:30,1:35.798,218.221
71,5,18,Alpine Renault,52,15:58:46,1:36.232,217.237
72,5,12,RB Honda RBPT,51,15:56:28,1:36.342,216.989
73,5,22,Kick Sauber Ferrari,25,15:14:21,1:36.608,216.392
74,5,15,Alpine Renault,48,15:52:25,1:36.642,216.315
75,5,17,Haas Ferrari,24,15:12:43,1:36.654,216.289
76,5,20,Kick Sauber Ferrari,9,14:47:44,1:37.160,215.162
77,6,9,Aston Martin Aramco Mercedes,45,16:26:55,1:37.810,200.629
78,6,1,Red Bull Racing Honda RBPT,33,16:06:26,1:38.406,199.414
79,6,20,Kick Sauber Ferrari,42,16:22:15,1:38.633,198.955
80,6,2,McLaren Mercedes,33,16:06:27,1:38.751,198.717
81,6,15,Alpine Renault,40,16:18:50,1:39.198,197.822
82,6,3,Ferrari,33,16:06:29,1:39.384,197.452
83,6,8,Red Bull Racing Honda RBPT,33,16:06:30,1:39.388,197.444
84,6,11,Aston Martin Aramco Mercedes,37,16:14:01,1:39.444,197.333
85,6,4,McLaren Mercedes,18,15:34:44,1:39.739,196.749
86,6,5,Ferrari,19,15:36:29,1:39.764,196.7
87,6,7,Mercedes,39,16:16:37,1:40.112,196.016
88,6,13,Williams Mercedes,34,16:08:20,1:40.790,194.697
89,6,10,Haas Ferrari,32,16:04:55,1:40.815,194.649
90,6,6,Mercedes,34,16:08:18,1:40.835,194.61
91,6,18,Alpine Renault,33,16:06:38,1:40.937,194.414
92,6,14,RB Honda RBPT,16,15:31:36,1:40.994,194.304
93,6,21,Williams Mercedes,14,15:28:17,1:41.000,194.293
94,6,17,Haas Ferrari,45,16:27:03,1:41.077,194.145
95,6,22,Kick Sauber Ferrari,11,15:22:56,1:41.276,193.763
96,6,12,RB Honda RBPT,11,15:23:00,1:41.593,193.158
97,7,4,McLaren Mercedes,43,17:13:35,1:30.634,214.965
98,7,13,Williams Mercedes,55,17:32:26,1:30.849,214.456
99,7,8,Red Bull Racing Honda RBPT,55,17:31:25,1:30.855,214.442
100,7,5,Ferrari,55,17:31:22,1:30.928,214.27
101,7,2,McLaren Mercedes,55,17:31:10,1:30.980,214.148
102,7,3,Ferrari,56,17:32:51,1:31.084,213.903
103,7,6,Mercedes,54,17:29:55,1:31.233,213.554
104,7,1,Red Bull Racing Honda RBPT,48,17:20:37,1:31.261,213.488
105,7,11,Aston Martin Aramco Mercedes,57,17:34:58,1:31.588,212.726
106,7,12,RB Honda RBPT,55,17:31:35,1:31.682,212.508
107,7,9,Aston Martin Aramco Mercedes,55,17:31:46,1:31.727,212.404
108,7,17,Haas Ferrari,33,16:58:09,1:31.774,212.295
109,7,7,Mercedes,43,17:13:13,1:31.921,211.955
110,7,10,Haas Ferrari,56,17:33:22,1:31.941,211.909
111,7,20,Kick Sauber Ferrari,56,17:33:30,1:31.991,211.794
112,7,18,Alpine Renault,51,17:25:39,1:32.037,211.688
113,7,15,Alpine Renault,56,17:33:26,1:32.055,211.647
114,7,22,Kick Sauber Ferrari,55,17:32:00,1:32.098,211.548
115,7,14,RB Honda RBPT,57,17:35:04,1:32.122,211.493
116,7,21,Williams Mercedes,15,16:27:27,1:33.452,208.483
117,8,7,Mercedes,54,16:17:28,1:18.589,224.871
118,8,9,Aston Martin Aramco Mercedes,62,16:29:56,1:19.004,223.689
119,8,8,Red Bull Racing Honda RBPT,52,16:14:50,1:19.686,221.775
120,8,4,McLaren Mercedes,25,15:37:45,1:19.907,221.162
121,8,3,Ferrari,27,15:40:25,1:19.935,221.084
122,8,2,McLaren Mercedes,54,16:16:38,1:19.994,220.921
123,8,5,Ferrari,63,16:29:04,1:20.220,220.299
124,8,6,Mercedes,43,16:02:17,1:20.331,219.994
125,8,1,Red Bull Racing Honda RBPT,38,15:55:03,1:20.366,219.898
126,8,11,Aston Martin Aramco Mercedes,58,16:23:11,1:20.570,219.342
127,8,12,RB Honda RBPT,14,15:22:58,1:20.936,218.35
128,8,17,Haas Ferrari,58,16:23:41,1:21.009,218.153
129,8,20,Kick Sauber Ferrari,37,15:55:04,1:21.016,218.134
130,8,21,Williams Mercedes,55,16:19:52,1:21.229,217.562
131,8,13,Williams Mercedes,48,16:12:08,1:21.274,217.442
132,8,18,Alpine Renault,37,15:54:52,1:21.304,217.361
133,8,15,Alpine Renault,10,15:17:37,1:21.371,217.183
