results_id,type,schedule_id,driver_id,car,laps,time_retired,pts
1,race,2,1,Red Bull Racing Honda RBPT,57,1:31:44.742,26
2,race,2,8,Red Bull Racing Honda RBPT,57,+22.457s,18
3,race,2,5,Ferrari,57,+25.110s,15
4,race,2,3,Ferrari,57,+39.669s,12
5,race,2,7,Mercedes,57,+46.788s,10
6,race,2,2,McLaren Mercedes,57,+48.458s,8
7,race,2,6,Mercedes,57,+50.324s,6
8,race,2,4,McLaren Mercedes,57,+56.082s,4
9,race,2,9,Aston Martin Aramco Mercedes,57,+74.887s,2
10,race,2,11,Aston Martin Aramco Mercedes,57,+93.216s,1
11,race,2,20,Kick Sauber Ferrari,56,+1 lap,0
12,race,2,17,Haas Ferrari,56,+1 lap,0
13,race,2,14,RB Honda RBPT,56,+1 lap,0
14,race,2,12,RB Honda RBPT,56,+1 lap,0
15,race,2,13,Williams Mercedes,56,+1 lap,0
16,race,2,10,Haas Ferrari,56,+1 lap,0
17,race,2,18,Alpine Renault,56,+1 lap,0
18,race,2,15,Alpine Renault,56,+1 lap,0
19,race,2,22,Kick Sauber Ferrari,56,+1 lap,0
20,race,2,21,Williams Mercedes,55,+2 laps,0
21,race,3,1,Red Bull Racing Honda RBPT,50,1:20:43.273,25
22,race,3,8,Red Bull Racing Honda RBPT,50,+13.643s,18
23,race,3,3,Ferrari,50,+18.639s,16
24,race,3,4,McLaren Mercedes,50,+32.007s,12
25,race,3,9,Aston Martin Aramco Mercedes,50,+35.759s,10
26,race,3,7,Mercedes,50,+39.936s,8
27,race,3,16,Ferrari,50,+42.679s,6
28,race,3,2,McLaren Mercedes,50,+45.708s,4
29,race,3,6,Mercedes,50,+47.391s,2
30,race,3,10,Haas Ferrari,50,+76.996s,1
31,race,3,13,Williams Mercedes,50,+88.354s,0
32,race,3,17,Haas Ferrari,50,+105.737s,0
33,race,3,18,Alpine Renault,49,+1 lap,0
34,race,3,21,Williams Mercedes,49,+1 lap,0
35,race,3,12,RB Honda RBPT,49,+1 lap,0
36,race,3,14,RB Honda RBPT,49,+1 lap,0
37,race,3,22,Kick Sauber Ferrari,49,+1 lap,0
38,race,3,20,Kick Sauber Ferrari,49,+1 lap,0
39,race,3,11,Aston Martin Aramco Mercedes,5,DNF,0
40,race,3,15,Alpine Renault,1,DNF,0
41,race,4,5,Ferrari,58,1:20:26.843,25
42,race,4,3,Ferrari,58,+2.366s,19
43,race,4,2,McLaren Mercedes,58,+5.904s,15
44,race,4,4,McLaren Mercedes,58,+35.770s,12
45,race,4,8,Red Bull Racing Honda RBPT,58,+56.309s,10
46,race,4,11,Aston Martin Aramco Mercedes,58,+93.222s,8
47,race,4,12,RB Honda RBPT,58,+95.601s,6
48,race,4,9,Aston Martin Aramco Mercedes,58,+100.992s,4
49,race,4,10,Haas Ferrari,58,+104.553s,2
50,race,4,17,Haas Ferrari,57,+1 lap,1
51,race,4,13,Williams Mercedes,57,+1 lap,0
52,race,4,14,RB Honda RBPT,57,+1 lap,0
53,race,4,15,Alpine Renault,57,+1 lap,0
54,race,4,22,Kick Sauber Ferrari,57,+1 lap,0
55,race,4,20,Kick Sauber Ferrari,57,+1 lap,0
56,race,4,18,Alpine Renault,57,+1 lap,0
57,race,4,7,Mercedes,56,DNF,0
58,race,4,6,Mercedes,15,DNF,0
59,race,4,1,Red Bull Racing Honda RBPT,3,DNF,0
60,race,5,1,Red Bull Racing Honda RBPT,53,1:54:23.566,26
61,race,5,8,Red Bull Racing Honda RBPT,53,+12.535s,18
62,race,5,5,Ferrari,53,+20.866s,15
63,race,5,3,Ferrari,53,+26.522s,12
64,race,5,2,McLaren Mercedes,53,+29.700s,10
65,race,5,9,Aston Martin Aramco Mercedes,53,+44.272s,8
66,race,5,7,Mercedes,53,+45.951s,6
67,race,5,4,McLaren Mercedes,53,+47.525s,4
68,race,5,6,Mercedes,53,+48.626s,2
69,race,5,12,RB Honda RBPT,52,+1 lap,1
70,race,5,10,Haas Ferrari,52,+1 lap,0
71,race,5,11,Aston Martin Aramco Mercedes,52,+1 lap,0
72,race,5,17,Haas Ferrari,52,+1 lap,0
