schedule_id,circuit_id,year,month,date,round,grand_prix_title
1,1,2024,Feb,21-23,TESTING,FORMULA 1 ARAMCO PRE-SEASON TESTING 2024
2,2,2024,Feb-Mar,29-02,ROUND 1,FORMULA 1 GULF AIR BAHRAIN GRAND PRIX 2024
3,3,2024,Mar,07-09,ROUND 2,FORMULA 1 STC SAUDI ARABIAN GRAND PRIX 2024
4,4,2024,Mar,22-24,ROUND 3,FORMULA 1 ROLEX AUSTRALIAN GRAND PRIX 2024
5,5,2024,Apr,05-07,ROUND 4,FORMULA 1 MSC CRUISES JAPANESE GRAND PRIX 2024
6,6,2024,Apr,19-21,ROUND 5,FORMULA 1 LENOVO CHINESE GRAND PRIX 2024
7,7,2024,May,03-05,ROUND 6,FORMULA 1 CRYPTO.COM MIAMI GRAND PRIX 2024
8,8,2024,May,17-19,ROUND 7,FORMULA 1 MSC CRUISES GRAN PREMIO DEL MADE IN ITALY E DELL'EMILIA-ROMAGNA 2024
9,9,2024,May,24-26,ROUND 8,FORMULA 1 GRAND PRIX DE MONACO 2024
10,10,2024,Jun,07-09,ROUND 9,FORMULA 1 AWS GRAND PRIX DU CANADA 2024
11,11,2024,Jun,21-23,ROUND 10,FORMULA 1 ARAMCO GRAN PREMIO DE ESPAÑA 2024
12,12,2024,Jun,28-30,ROUND 11,FORMULA 1 QATAR AIRWAYS AUSTRIAN GRAND PRIX 2024
13,13,2024,Jul,05-07,ROUND 12,FORMULA 1 QATAR AIRWAYS BRITISH GRAND PRIX 2024
14,14,2024,Jul,19-21,ROUND 13,FORMULA 1 HUNGARIAN GRAND PRIX 2024
15,15,2024,Jul,26-28,ROUND 14,FORMULA 1 ROLEX BELGIAN GRAND PRIX 2024
16,16,2024,Aug,23-25,ROUND 15,FORMULA 1 HEINEKEN DUTCH GRAND PRIX 2024
17,17,2024,Aug-Sep,30-01,ROUND 16,FORMULA 1 PIRELLI GRAN PREMIO D’ITALIA 2024
18,18,2024,Sep,13-15,ROUND 17,FORMULA 1 QATAR AIRWAYS AZERBAIJAN GRAND PRIX 2024
19,19,2024,Sep,20-22,ROUND 18,FORMULA 1 SINGAPORE AIRLINES SINGAPORE GRAND PRIX 2024
20,20,2024,Oct,18-20,ROUND 19,FORMULA 1 PIRELLI UNITED STATES GRAND PRIX 2024
21,21,2024,Oct,25-27,ROUND 20,FORMULA 1 GRAN PREMIO DE LA CIUDAD DE MÉXICO 2024
22,22,2024,Nov,01-03,ROUND 21,FORMULA 1 LENOVO GRANDE PRÊMIO DE SÃO PAULO 2024
23,23,2024,Nov,21-23,ROUND 22,FORMULA 1 HEINEKEN SILVER LAS VEGAS GRAND PRIX 2024
24,24,2024,Nov-Dec,29-01,ROUND 23,FORMULA 1 QATAR AIRWAYS QATAR GRAND PRIX 2024
25,25,2024,Dec,06-08,ROUND 24,FORMULA 1 ETIHAD AIRWAYS ABU DHABI GRAND PRIX 2024
